YEAR,MONTH,AIRPORT,FLIGHTS,STRIKES,WND_ANG_MEAN,WND_SPD_MEAN,CIG_MEAN,VIS_MEAN,TMP_MEAN,DEW_MEAN,SLP_MEAN
2018,5,SDF,4692,32,157.42,3.28,17053.29,14030.38,20.21,14.79,1016.64
2018,5,SEA,35492,11,242.22,3.05,11159.56,16076.09,16.08,8.78,1016.28
2018,5,SLC,20594,28,223.6,2.63,16824.32,15934.89,14.35,5.92,1010.64
2018,5,TPA,13893,14,120.77,3.12,12066.7,13566.43,24.49,19.01,1018.7
2018,6,ATL,74976,13,234.55,2.74,16214.33,14883.0,23.25,19.48,1015.22
2018,6,AUS,11861,6,176.0,3.78,10555.8,13903.17,28.52,21.77,1010.04
2018,6,CLT,41123,15,232.0,2.29,13638.5,15632.87,25.68,20.36,1014.41
2018,6,CVG,9545,16,174.67,3.37,11937.33,14713.44,21.83,17.84,1014.59
2018,6,DAL,11766,14,173.57,5.62,11427.14,16093.0,27.09,20.99,1012.0
2018,6,DEN,50415,131,201.78,4.6,20250.55,15440.96,17.17,5.75,1008.67
2018,6,DFW,55311,16,192.67,4.79,18705.0,16029.06,26.68,21.14,1011.22
2018,6,DTW,32618,55,126.85,3.15,10165.06,11078.24,19.26,14.23,1012.59
2018,6,FLL,22778,4,136.67,1.78,6782.0,16093.0,27.35,25.15,1016.42
2018,6,IAH,37476,14,186.15,2.34,17907.85,15734.93,26.72,24.48,1013.39
2018,6,JFK,37940,7,168.57,5.29,10147.67,12948.86,23.66,18.66,1010.49
2018,6,LAX,55840,13,200.0,2.93,14296.45,15569.23,17.77,14.21,1012.5
2018,6,MCI,10092,16,176.88,3.91,14550.2,15546.5,23.5,19.82,1011.02
2018,6,MCO,26913,12,236.0,2.1,16034.89,16054.25,26.15,22.23,1016.22
2018,6,MEM,4636,20,215.0,3.11,12242.85,16051.15,25.6,20.98,1014.01
2018,6,ORD,74675,27,146.67,3.3,12164.38,12400.19,21.67,16.3,1013.42
2018,6,RSW,4078,8,174.29,2.0,22000.0,16093.0,27.01,23.81,1017.72
2018,6,SDF,4635,6,188.0,2.83,9380.67,16077.5,26.3,19.43,1013.55
2018,6,SEA,37683,5,198.0,2.68,5454.6,16074.4,13.56,8.2,1019.46
2018,6,SLC,20941,32,208.0,3.37,20293.79,16020.34,17.83,3.36,1010.7
2018,6,TEB,2,6,130.0,4.47,11152.5,12606.33,24.75,18.23,1013.23
2018,6,TPA,13270,22,244.38,3.0,13461.0,15912.91,27.9,22.75,1016.41
2018,7,ATL,77127,33,146.0,3.15,14404.82,13000.3,24.57,20.19,1018.36
2018,7,AUS,12164,19,140.0,2.91,15323.36,15203.42,31.82,18.54,1014.08
2018,7,CLT,44045,17,221.0,2.12,17366.71,12748.0,24.55,20.58,1014.87
2018,7,CVG,9464,22,211.67,2.6,19975.25,15608.23,23.48,17.1,1016.61
2018,7,DAL,11985,21,160.48,3.21,14934.67,15863.14,28.75,21.15,1015.5
2018,7,DEN,51926,55,210.4,4.43,19001.71,15079.98,18.89,10.25,1014.88
2018,7,DFW,56773,39,136.97,3.06,18316.08,15704.49,27.39,19.47,1015.09
2018,7,DTW,33138,67,144.91,2.69,16097.71,13311.81,21.96,15.13,1018.93
2018,7,FLL,23513,9,160.0,2.44,12724.11,16093.0,28.69,25.77,1017.58
2018,7,IAH,38350,16,171.82,2.56,12207.2,14312.5,26.59,23.7,1017.47
2018,7,JFK,39480,20,133.16,3.84,19227.56,15805.8,24.06,18.29,1019.21
2018,7,LAX,57972,10,211.25,2.32,15840.57,13559.1,21.89,17.33,1013.42
2018,7,MCI,10249,53,127.5,2.69,16609.91,15250.32,22.63,18.4,1017.64
2018,7,MCO,27579,20,154.62,2.34,10838.47,14692.55,27.2,23.85,1017.18
2018,7,MEM,4644,16,178.33,2.36,16265.87,15857.0,26.08,21.49,1015.94
2018,7,ORD,78539,50,229.74,2.69,20099.43,14917.2,23.14,16.3,1016.99
2018,7,RSW,4114,8,205.0,2.78,22000.0,16093.0,28.19,24.22,1017.7
2018,7,SDF,4777,10,151.0,3.54,18465.78,14304.3,26.09,18.58,1017.26
2018,7,SEA,40173,21,208.75,2.48,14878.4,16057.57,17.6,11.61,1019.84
2018,7,SLC,21882,16,187.5,4.05,18567.33,16034.88,26.14,7.58,1012.53
2018,7,TEB,1,15,194.29,4.05,9096.87,14912.87,26.25,21.39,1020.03
2018,7,TPA,13623,16,170.0,2.74,19163.82,16034.88,27.99,23.16,1016.72
2018,8,ATL,77425,22,252.35,2.53,15545.1,15101.05,24.49,20.37,1018.36
